"","version","date","totalcs","versionm","lloc","cs.var","lloc.var"
"1","2.0.0",2002-04-04,216,"2.0.0",39240,0,0
"2","2.0.1",2002-05-20,220,"2.0.1",42191,0.0185185185185185,0.075203873598369
"3","2.0.2",2002-08-08,220,"2.0.2",42517,0,0.00772676637197507
"4","2.0.3",2002-09-28,221,"2.0.3",52339,0.00454545454545455,0.231013476962156
"5","2.0.4",2003-01-15,221,"2.0.4",63225,0,0.207990217619748
"6","2.0.5",2003-06-15,223,"2.0.5",72899,0.00904977375565611,0.153009094503756
"7","2.0.6",2003-08-03,225,"2.0.6",73216,0.00896860986547085,0.0043484821465315
"8","2.0.7",2004-03-13,226,"2.0.7",12511,0.00444444444444444,-0.829122049825175
"9","2.0.8",2004-03-25,227,"2.0.8",12828,0.00442477876106195,0.0253377028215171
"10","2.0.8a",2004-03-28,227,"2.0.8a",12828,0,0
"11","2.0.9",2004-07-11,229,"2.0.9",13144,0.00881057268722467,0.0246336139694418
"12","2.0.10",2004-07-17,230,"2.0.10",13460,0.00436681222707424,0.0240413877054169
"13","2.0.11",2004-11-18,231,"2.0.11",13898,0.00434782608695652,0.0325408618127786
"14","2.0.12",2005-02-21,222,"2.0.12",11473,-0.038961038961039,-0.174485537487408
"15","2.0.13",2005-02-27,222,"2.0.13",11473,0,0
"16","2.0.14",2005-04-18,218,"2.0.14",11361,-0.018018018018018,-0.00976205003050641
"17","2.0.15",2005-05-13,218,"2.0.15",11397,0,0.003168735146554
"18","2.0.16",2005-06-28,218,"2.0.16",11404,0,0.000614196718434676
"19","2.0.17",2005-08-08,218,"2.0.17",11414,0,0.000876885303402315
"20","2.0.18",2005-10-31,219,"2.0.18",11508,0.00458715596330275,0.00823550026283511
"21","2.0.19",2005-12-30,219,"2.0.19",11543,0,0.00304136253041363
"22","2.0.20",2006-04-05,221,"2.0.20",11608,0.0091324200913242,0.00563111842675214
"23","2.0.21",2006-05-30,221,"2.0.21",11639,0,0.00267057201929704
"24","3.0.0",2007-12-12,1781,"3.0.0",32291,7.05882352941176,1.77437924220294
"25","3.0.1",2008-04-08,1794,"3.0.1",32496,0.0072992700729927,0.00634851816295562
"26","3.0.2",2008-07-10,1800,"3.0.2",32611,0.00334448160535117,0.00353889709502708
"27","3.0.3",2008-11-12,1822,"3.0.3",33065,0.0122222222222222,0.013921682867744
"28","3.0.4",2008-12-13,1829,"3.0.4",33123,0.00384193194291987,0.00175412067140481
"29","3.0.5",2009-05-31,1837,"3.0.5",33152,0.00437397484964461,0.000875524559973432
"30","3.0.6",2009-11-17,2004,"3.0.6",35658,0.0909090909090909,0.0755912162162162
"31","3.0.7",2010-02-28,2074,"3.0.7",36821,0.0349301397205589,0.0326154018733524
"32","3.0.8",2010-11-19,2081,"3.0.8",37834,0.00337512054001929,0.0275114744303522
"33","3.0.9",2011-07-10,2101,"3.0.9",38605,0.00961076405574243,0.0203784955331184
"34","3.0.10",2012-01-02,2076,"3.0.10",38264,-0.0118990956687292,-0.0088330527133791
"35","3.0.11",2012-08-20,2083,"3.0.11",38574,0.00337186897880539,0.0081016098682835
"36","3.0.12",2013-09-28,2089,"3.0.12",39488,0.0028804608737398,0.0236947166485197
"37","3.1.0",2014-10-28,2190,"3.1.0",53029,0.048348492101484,0.342914303079417
"38","3.1.1",2014-11-01,2191,"3.1.1",53081,0.00045662100456621,0.000980595523204284
"39","3.1.2",2014-11-25,2196,"3.1.2",53428,0.00228206298493838,0.00653717902827754
"40","3.1.3",2015-02-01,2196,"3.1.3",53748,0,0.0059893688702553
"41","3.1.4",2015-05-03,2188,"3.1.4",53956,-0.00364298724954463,0.00386991143856516
"42","3.1.5",2015-06-14,2202,"3.1.5",54242,0.00639853747714808,0.00530061531618356
"43","3.1.6",2015-09-05,2207,"3.1.6",54372,0.00227066303360581,0.00239666678957266
"44","3.1.7",2015-12-19,2211,"3.1.7",54475,0.00181241504304486,0.001894357389833
"45","3.1.8",2016-02-18,2212,"3.1.8",54518,0.000452284034373587,0.000789352914180817
"46","3.1.9",2016-04-16,2215,"3.1.9",54649,0.00135623869801085,0.00240287611431087
"47","3.1.10",2016-10-02,2224,"3.1.10",54941,0.00406320541760722,0.0053431901773134
"48","3.2.0",2017-01-07,1743,"3.2.0",60611,-0.216276978417266,0.103201616279281
"49","3.2.1",2017-07-16,1745,"3.2.1",61174,0.00114744693057946,0.00928874296744815
"50","3.2.2",2018-01-07,1749,"3.2.2",61575,0.00229226361031519,0.00655507241638605
